Name,Routes,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23,1/1/24
EN-RM,EN-RM,0,2968,2764,2786,2875,2699,2966,2381,2410,2703,2372,2727,2645,2636,2402,2663,2936,3078,3327,2894,2887,2895,2602,1865,675,698,935,816,767,690,804,744,737,598,563,763,854,961,999,998,1444,1678,1666,1545,1375,1304,1364,1625,1491,1680,1505,1411,1730,1941,2013,1902,1685,1768,1633,1731,1701,1861,1713,1649,1956,1927,1929,1755,1690,0
EP-RM,EP-EN~EN-RM,0,2431,2171,2098,2262,2167,2531,2049,2005,2110,1909,2286,2270,2431,2310,2354,2418,2462,2597,2368,2329,2323,2246,1372,448,507,660,745,632,627,825,726,671,477,481,690,810,798,746,795,1068,1200,1228,1129,1193,1079,1146,1366,1342,1533,1378,1301,1593,1679,1686,1580,1430,1433,1444,1633,1629,1788,1553,1629,1808,1768,1840,1703,1540,0
NB-RM,NB-EP~EP-EN~EN-RM,0,2017,1663,1609,1839,1786,2053,1553,1544,1620,1501,1719,1713,1771,1600,1668,1817,1769,2030,1701,1541,1785,1648,1063,462,481,606,621,560,563,602,550,526,415,431,509,579,588,655,727,790,806,769,793,740,684,691,754,797,837,817,824,915,958,1059,897,832,840,881,1009,969,1123,909,893,1065,994,1073,968,847,0
BK-RM,BK-NB~NB-EP~EP-EN~EN-RM,0,9531,9073,9387,10169,10349,11319,9065,7575,8789,9348,10138,10543,10449,9214,9697,10924,11688,12053,10264,8518,9630,10016,5480,1004,1341,1731,2048,2126,2061,2186,1993,1740,1477,1409,1892,2102,2345,2474,2701,3750,4832,4833,4437,3946,3631,4581,5258,5446,5448,5341,5150,6090,6826,6732,5973,4922,5555,5799,6248,6426,6451,6129,6062,6651,7022,7348,6761,5216,0
AS-RM,AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,2654,2560,2469,2551,2358,2756,2169,2044,2308,1877,2194,2309,2449,2404,2562,2480,2481,2619,2468,2132,2368,2353,1353,496,508,616,667,660,642,687,605,603,499,496,587,688,775,877,829,986,1135,1147,1031,964,931,900,1300,1127,1211,1049,994,1219,1181,1247,1050,1100,1124,1097,1352,1301,1467,1380,1193,1397,1359,1520,1321,1237,0
MA-RM,MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,3769,3377,2909,3288,3067,3615,2922,2841,3034,2739,3259,3255,3475,3110,3361,3617,3444,3858,3406,3222,3499,3395,2108,773,847,974,1074,1082,952,1026,889,813,695,768,1034,1122,1164,1558,1344,1646,1617,1632,1585,1651,1397,1437,1903,1786,1878,1638,1502,2073,2026,1996,1693,1562,1660,1709,2004,1919,2081,1997,1791,2266,2168,2295,2049,1891,0
19-RM,19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,3865,4133,3363,3763,3660,4250,3496,3133,3832,3317,3695,3846,3867,3617,3838,3784,3693,4203,3450,3422,3953,3869,2166,411,487,670,726,670,700,809,635,597,486,535,732,826,843,915,816,890,1117,1101,1032,1003,1022,1124,1379,1346,1364,1251,1118,1428,1367,1501,1263,1127,1260,1369,1526,1462,1486,1415,1381,1739,1618,1694,1529,1394,0
12-RM,12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,4533,4740,4568,4794,4425,4918,4071,3531,3981,3570,4034,4133,4215,3871,4252,4369,4157,4636,4024,3927,4309,3945,2274,628,638,756,823,854,916,988,863,926,869,832,968,1036,1021,1092,1105,1226,1348,1470,1410,1446,1127,1255,1585,1531,1490,1474,1383,1634,1593,1597,1466,1529,1485,1485,1890,1737,1815,1917,1886,2026,1878,1943,1810,1642,0
LM-RM,LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,1105,1133,995,1044,1038,1191,941,845,1104,1197,1107,1144,1099,1017,1219,1216,1334,1394,1032,886,1145,1175,632,190,240,354,316,350,346,419,292,269,202,220,304,321,367,377,347,396,383,327,346,340,335,417,513,491,542,518,530,658,586,592,524,444,492,491,593,730,638,594,522,567,581,583,573,484,0
FV-RM,FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,2409,2327,2224,2305,2143,2313,2110,1894,1968,1907,2076,2282,2336,2118,2221,2516,2289,2397,2219,1934,2089,2101,1379,615,647,841,995,1034,919,975,903,719,558,652,840,919,903,986,1094,1149,1271,1263,1245,1197,1063,1202,1320,1250,1344,1332,1164,1308,1323,1423,1267,1045,1172,1129,1302,1308,1401,1324,1388,1475,1458,1558,1330,1210,0
CL-RM,CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,2184,1776,1938,2271,2331,1824,1599,1698,1420,1403,1773,1906,1960,1718,1862,2160,2069,1734,1659,1457,1377,1421,971,557,647,753,863,758,759,781,600,709,556,588,683,778,782,836,852,984,891,867,768,628,713,785,929,954,1044,926,1002,1265,1092,981,891,851,782,844,952,1071,1220,1202,969,1244,1148,1018,1013,903,0
SL-RM,SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,898,881,919,944,822,837,769,832,928,826,953,895,943,1022,1126,1151,1084,1086,938,902,892,799,557,240,279,359,362,305,360,403,327,357,263,235,283,324,402,384,424,438,452,525,468,443,411,419,536,467,498,506,487,524,475,472,494,431,444,414,558,546,575,611,647,684,559,609,587,584,0
BF-RM,BF-SL~SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,608,642,609,591,561,659,617,580,552,565,575,592,588,559,603,591,590,679,629,592,586,528,342,77,98,191,222,213,212,241,254,290,166,172,252,225,240,266,265,352,332,357,305,308,206,257,297,275,290,298,261,255,230,257,231,207,182,208,201,219,211,269,339,245,262,353,347,306,0
HY-RM,HY-BHC~BHC-BF~BF-SL~SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,887,666,645,805,899,1039,785,662,659,715,718,728,696,641,616,783,886,970,813,662,702,769,468,141,158,230,222,227,244,280,219,262,166,146,195,226,249,268,291,382,476,471,456,358,353,435,523,523,449,441,343,527,543,561,447,329,347,414,469,460,469,464,395,447,525,562,471,427,0
SH-RM,SH-HY~HY-BHC~BHC-BF~BF-SL~SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,492,451,484,530,433,440,426,385,451,376,428,396,431,436,490,521,448,477,391,389,451,346,287,153,195,177,191,202,191,208,192,166,128,162,199,229,200,221,210,179,215,198,184,172,186,212,286,255,208,243,254,219,260,256,238,212,217,181,253,226,249,230,229,312,257,239,257,230,0
UC-RM,UC-SH~SH-HY~HY-BHC~BHC-BF~BF-SL~SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,413,434,415,394,333,393,350,377,443,408,463,434,460,455,441,434,413,442,381,406,431,414,236,67,78,84,105,76,83,125,119,139,87,65,97,106,96,107,154,173,185,177,157,162,156,187,221,205,156,182,170,154,147,117,137,171,145,173,167,202,187,203,170,152,139,143,151,135,0
FM-RM,FM-UC~UC-SH~SH-HY~HY-BHC~BHC-BF~BF-SL~SL-CL~CL-FV~FV-LM~LM-OW~OW-12~12-19~19-MA~MA-MRA~MRA-AS~AS-BK~BK-NB~NB-EP~EP-EN~EN-RM,0,865,802,713,836,667,663,556,544,564,560,613,628,673,587,596,631,653,695,591,574,510,505,303,120,149,149,159,119,121,171,151,127,101,87,134,172,167,170,161,155,173,178,187,207,146,145,198,189,209,204,179,189,180,203,178,198,202,220,229,217,242,216,214,215,223,267,249,242,0
