Name,X04.01.2018,X05.01.2018,X06.01.2018,X07.01.2018,X08.01.2018,X09.01.2018,X10.01.2018,X11.01.2018,X12.01.2018,X01.01.2019,X02.01.2019,X03.01.2019,X04.01.2019,X05.01.2019,X06.01.2019,X07.01.2019,X08.01.2019,X09.01.2019,X10.01.2019,X11.01.2019,X12.01.2019,X01.01.2020,X02.01.2020,X03.01.2020,X04.01.2020,X05.01.2020,X06.01.2020,X07.01.2020,X08.01.2020,X09.01.2020,X10.01.2020,X11.01.2020,X12.01.2020,X01.01.2021,X02.01.2021,X03.01.2021,X04.01.2021,X05.01.2021,X06.01.2021,X07.01.2021,X08.01.2021,X09.01.2021,X10.01.2021,X11.01.2021,X12.01.2021,X01.01.2022,X02.01.2022,X03.01.2022,X04.01.2022,X05.01.2022,X06.01.2022,X07.01.2022,X08.01.2022,X09.01.2022,X10.01.2022,X11.01.2022,X12.01.2022,X01.01.2023,X02.01.2023,X03.01.2023,X04.01.2023,X05.01.2023,X06.01.2023,X07.01.2023,X08.01.2023,X09.01.2023,X10.01.2023,X11.01.2023,X12.01.2023,X01.01.2024
ML-BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8920,13414,12859,13128,15842,13771,11615,11004,11932,14945,17140,543,22842,27370,34911,40537,39835,40361,33694,27457,36356,50846,51538,50538,55613,52318,61861,64332,66714,58590,49189,48257,56448,63057,66922,65381,66823,64893,74864,74988,80589,69403,56935,0
WS-ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12808,20737,20255,21250,25978,23391,20493,19848,21084,26290,30373,728,38963,47908,58444,68626,68963,70979,60999,48522,61741,86482,88157,89473,101080,96244,109869,111979,120135,104865,92490,89446,98023,111042,117191,118129,122477,122471,139041,134181,145690,124391,107583,0
FM-WS,0,166048,167920,164418,178604,169511,218882,191778,177869,188864,182788,205160,213605,211206,208293,215181,224001,219868,233313,199770,178124,190500,187956,75777,8764,13030,25594,30978,30347,31768,37816,34758,31002,29304,31400,38367,42977,942,55760,67414,79774,92184,94162,96147,86108,68958,85761,118527,118596,122928,141209,133496,151781,152173,163066,143853,128724,124126,134184,153420,158299,163041,170750,166578,187099,177031,192637,166283,145006,0
UC-FM,0,497902,493742,481534,509997,471743,530572,436931,404076,445822,421365,467323,487504,481119,465607,488270,494645,485656,514288,432354,394782,426711,411157,170761,22260,28492,45403,54602,52637,54326,63559,57252,51559,47805,50424,62086,68328,1454,88954,105654,121108,137278,138211,140482,129316,103384,124810,173989,174873,179226,203303,189251,215888,214656,229332,203510,183016,178831,191789,221443,226482,236553,245587,237193,263677,247437,271865,233108,206443,0
SH-UC,0,714065,700966,681856,723377,665693,749824,616570,575752,636687,595378,660910,691545,679373,654269,685558,698266,676148,722522,606571,555323,603431,579418,239621,32861,41851,61612,73421,70873,73094,85290,76345,69216,63575,67558,83456,91613,2426,117081,138855,158426,178180,177190,181982,169772,135716,162444,224724,223311,226039,257995,236312,272060,268728,287470,255388,229963,226680,241708,280430,283006,298034,307492,295943,333181,311187,337336,290599,259285,0
HY-SH,0,839547,821713,801841,850405,781316,881335,724570,678741,749573,699262,777508,810394,802977,770520,803463,819444,793865,852807,713191,659515,714573,685039,296566,46231,56862,81786,95711,90424,93205,109524,97268,88729,82177,86170,107119,115484,2911,145142,168855,192178,214677,216157,217071,203292,164102,194944,265641,266131,271465,303454,277689,318407,319980,333678,295700,267033,264104,281588,325605,327120,345246,353562,339136,381907,356121,384545,332204,297646,0
SL-BF,0,1881208,1847361,1820308,1923051,1769519,1971324,1621573,1550785,1688027,1561024,1743784,1818661,1806787,1737457,1799054,1861190,1798216,1910848,1616412,1526258,1631497,1559880,683592,103800,125861,177375,205313,200246,207601,237108,209021,190920,177108,187967,232266,254633,7627,323569,369835,412485,444277,456539,444874,427262,343643,396600,543509,555331,579034,635539,579117,661888,666032,674142,600250,549766,536388,575193,662905,661984,700347,717368,682573,778164,715658,750678,653509,600608,0
CL-SL,0,2109406,2071867,2037501,2155674,1986695,2212093,1828790,1746771,1897593,1756438,1960598,2046431,2035975,1952302,2018581,2088958,2021862,2145667,1820338,1722319,1835802,1756039,785887,124318,149430,208442,240560,235681,246020,279218,244829,224353,207987,220323,272663,297309,9478,375801,425697,475535,511033,525273,510494,490769,399600,456969,623861,636298,662167,722452,658609,751054,756547,763815,681101,625528,611815,653159,753001,748950,794406,809244,766432,874781,804017,844091,736955,678973,0
CL-OA,0,88772,82039,81050,86488,79461,82293,75593,70515,61074,57604,68910,72451,77459,68907,69832,73706,79101,74368,68409,70232,53773,50170,20442,1763,2741,4996,6533,6753,6764,7902,7408,5705,4772,5538,8680,12206,197,22315,27558,28795,32801,32757,34602,29811,18193,21008,31476,34048,41318,41075,38853,42268,46156,43757,40110,32686,29608,28635,34557,35240,37238,35869,34493,37285,37217,37434,37284,32537,0
FV-CL,0,2380442,2304831,2257059,2397202,2220385,2462738,2052892,1956564,2108072,1959439,2190933,2300961,2276642,2173369,2244537,2316301,2255529,2373447,2013373,1903174,2015704,1931542,878985,146724,175934,242890,278226,271858,282422,320643,281486,258706,238193,253168,317911,344692,11270,433786,491431,550902,597628,599991,583994,557382,453120,519658,700521,718821,764809,815011,744508,850553,859730,860570,762010,696117,677894,719770,834331,833566,884672,900110,848847,972503,897088,929000,814591,745796,0
